cz_name,stateabbrv,name,mobility,population,density,male,white,black,amind,asian,highschool,college,dropout,manufacturing,income,gini,rentpct,poverty
Los Angeles,CA,"Ventura County, California",.30895114,840833,456.19769,.49532309,.78821123,.017914377,.0074747303,.070772678,.51416296,.31716317,.038526807,.10644887,56178,.44330001,34.200001,.16129175
Sacramento,CA,"Yolo County, California",.2427972,207320,204.3187,.48686573,.66085762,.026090102,.0094298664,.13661972,.46519682,.38974091,.017297553,.063357972,39939,.48339999,35.400002,.18661696
Chico,CA,"Yuba County, California",.07058844,73437,116.2275,.50791836,.70087284,.033443633,.01561883,.071857512,.66488749,.14336021,.011163896,.048394054,34058,.4233,34.400002,.30247003
Denver,CO,"Adams County, Colorado",.24025273,471206,403.54971,.50319183,.82819825,.032393474,.011097058,.038055543,.60042381,.22216196,.089811035,.087502122,42813,.40400001,31,.19132265
Alamosa,CO,"Alamosa County, Colorado",.2564567,16269,22.513189,.49001169,.87030548,.018624378,.020099577,.017763846,.5932973,.25491893,.047619049,.025465542,23529,.51179999,33.200001,.36454433
Denver,CO,"Arapahoe County, Colorado",.25655201,608310,762.19739,.49169502,.7306965,.10240503,.0056418604,.053732473,.51904589,.40060347,.054121483,.056485113,45950,.46489999,31.5,.15357634
Denver,CO,"Boulder County, Colorado",.42190972,310032,426.87119,.50251263,.88402164,.009041002,.0054671774,.043137483,.35221088,.58899516,.020928951,.10107918,51539,.4754,34.700001,.13180508
Salida,CO,"Chaffee County, Colorado",.40203527,18309,18.066839,.53514665,.93855482,.020044787,.011196679,.0027855153,.57078964,.34053111,.097756408,.042227663,37108,.41319999,29.5,.12334032
Grand Junction,CO,"Delta County, Colorado",.94023514,30214,26.455931,.50135696,.94896406,.0095981993,.0061229891,.0068842261,.68916559,.20000918,.023404256,.061168808,30833,.47319999,32.400002,.23852313
Denver,CO,"Denver County, Colorado",-.4712956,649654,4246.1001,.49985069,.76080805,.097063974,.010816527,.035557389,.41160145,.44953439,.078967318,.053556155,38957,.50199997,29.5,.26098433
Denver,CO,"Douglas County, Colorado",.58547282,306974,365.33731,.49626026,.9051255,.010802218,.0027852522,.040625591,.41077411,.566028,.031448074,.066662081,74783,.3996,26.4,.04159056
Glenwood Springs,CO,"Eagle County, Colorado",.84573287,52576,31.211081,.53041309,.88549906,.0065999697,.0057250457,.010480067,.4238911,.46744514,.036469124,.023212656,52450,.45050001,29.6,.11895381
Colorado Springs,CO,"El Paso County, Colorado",-.31613174,655024,307.9855,.50311136,.80250645,.060391679,.0063890787,.027385255,.57933468,.35864815,.038005721,.065020248,42275,.4409,30.4,.15580821
Colorado Springs,CO,"Fremont County, Colorado",.55975479,46809,30.5329,.57687622,.87991625,.052361727,.016214831,.0068576555,.71545261,.15249087,.048376828,.045698348,29359,.43239999,29.6,.29352972
Glenwood Springs,CO,"Garfield County, Colorado",1.0359824,57076,19.363791,.51135325,.88093066,.0087252082,.0085324831,.0073761302,.56201941,.29672149,.027942143,.025895866,41102,.41850001,31.200001,.14751554
Gunnison,CO,"Gunnison County, Colorado",.54871565,15651,4.8318982,.53843206,.95661616,.0071560922,.0045364513,.0062615806,.40646935,.54429865,.061266169,.017080745,34914,.41589999,32.599998,.18881118
Trinidad,CO,"Huerfano County, Colorado",.25018167,6502,4.0867362,.50599813,.86250383,.0067671486,.065518305,.001845586,.61370718,.27063861,.011976048,.07191316,23035,.48570001,38.599998,.19052224
Denver,CO,"Jefferson County, Colorado",.70638347,552344,722.76642,.49701816,.90817863,.010889953,.008719204,.025766551,.52381784,.41627899,.047652546,.075620778,50961,.4337,29.6,.11775544
Burlington,CO,"Kit Carson County, Colorado",1.1706018,7980,3.6930399,.54874688,.92155391,.041854635,.0025062656,.003132832,.70187795,.13308053,.008797654,.039169833,29490,.46579999,28.1,.25401217
Glenwood Springs,CO,"Lake County, Colorado",.14641535,7362,19.53248,.54618311,.87068731,.00067916332,.0021733225,.0065199672,.64600003,.2744,.013761468,.028841494,32950,.37920001,26.6,.13970588
Farmington,CO,"La Plata County, Colorado",.63273805,53182,31.429991,.5078786,.88575083,.0037982776,.05503742,.0071640783,.51351863,.43332255,.064695008,.036331128,43780,.42640001,30.200001,.10228152
Fort Collins,CO,"Larimer County, Colorado",.27907932,318227,122.5835,.4976542,.91076183,.0089841532,.0057097608,.0199166,.51018828,.44271135,.023146033,.095798455,43437,.4513,34,.12334632
Trinidad,CO,"Las Animas County, Colorado",.62061191,14503,3.038759,.51485902,.82672548,.018341033,.020685375,.006826174,.67326921,.16971155,.03626943,.023377944,32732,.42989999,29.9,.16529517
Sterling,CO,"Logan County, Colorado",.61262912,21928,11.92681,.54218352,.91335279,.014456403,.012039402,.021296972,.71041679,.15792346,.037761293,.075526088,30737,.45719999,28.6,.26152375
Grand Junction,CO,"Mesa County, Colorado",.68141955,147834,44.408279,.49609697,.92798001,.0074678357,.0079075182,.0061014383,.63659453,.26269692,.065308191,.047692623,35823,.4526,32.5,.20931219
Steamboat Springs,CO,"Moffat County, Colorado",1.2121625,13117,2.7653799,.52069831,.93062437,.0048791645,.022032477,.0085385377,.74701172,.15318556,.12481426,.016396027,37323,.4129,28.4,.13811988
Cortez,CO,"Montezuma County, Colorado",.48611671,25700,12.66305,.49529183,.83019453,.003696498,.11463035,.0024902725,.63066453,.26741549,.098101266,.056523703,31633,.42550001,29.4,.31295973
Grand Junction,CO,"Montrose County, Colorado",.37501359,40815,18.21533,.49053043,.92581159,.0064682104,.0072522359,.0043856427,.62903339,.24485396,.062915601,.08163023,31957,.4206,30.799999,.29941636
Fort Collins,CO,"Morgan County, Colorado",.68332553,28359,22.147989,.49677351,.89989066,.026094008,.0063119293,.0041256743,.65294474,.14896536,.042281881,.19451146,35190,.40310001,26.5,.1604192
Pueblo,CO,"Otero County, Colorado",.15421213,18572,14.71677,.49111566,.90652597,.0033383588,.016637949,.0094227875,.69184268,.15597291,.034217279,.050724637,23468,.46919999,33.299999,.38742253
Pueblo,CO,"Prowers County, Colorado",.50992459,12235,7.4676762,.50159377,.9517777,.0066203517,.006783817,.0044135675,.67814469,.13542336,.050995026,.063957728,29182,.43259999,31.4,.26749611
Pueblo,CO,"Pueblo County, Colorado",-.27635926,161519,67.691513,.49241886,.78762251,.02238746,.027420923,.0076399683,.66337174,.21620922,.074880078,.07592649,29986,.44710001,33.599998,.27638608
Steamboat Springs,CO,"Rio Blanco County, Colorado",2.0324922,6712,2.083868,.51996422,.94174612,.0046185935,.036799762,0,.69170141,.21974966,0,.019474771,44916,.4041,19.4,.21884318
Alamosa,CO,"Rio Grande County, Colorado",.239136,11745,12.87888,.49467859,.84452957,.0080885487,.020945083,.0037462751,.6127457,.21973206,.028776979,.047516197,28814,.44839999,22.700001,.29633659
Steamboat Springs,CO,"Routt County, Colorado",.69494832,23606,9.9939623,.5222401,.94891131,.0041938489,.0035584173,.010378717,.46542066,.50409764,.0050083473,.024182077,47183,.46340001,31.5,.089565031
Colorado Springs,CO,"Teller County, Colorado",.42441541,23340,41.89888,.50668383,.94280207,.01075407,.0036418166,.010368466,.61215574,.31775057,.034061134,.041474655,45301,.4102,34,.094554573
Fort Collins,CO,"Weld County, Colorado",.54716122,270948,67.953796,.50279021,.87205297,.01069947,.0086068176,.01347122,.60627812,.2609508,.023429044,.10415395,43994,.4208,30.4,.16539004
Sterling,CO,"Yuma County, Colorado",1.4768465,10185,4.3076382,.4737359,.94148254,.0119784,.000981836,.0010800196,.66873705,.21532091,.047337279,.027880279,31307,.43279999,27.5,.22439925
Bridgeport,CT,"Fairfield County, Connecticut",-.31802028,939983,1504.239,.48685348,.73915911,.11243076,.0023766386,.050424315,.43852305,.4581207,.034375984,.082769997,61179,.54269999,32.5,.11202307
Bridgeport,CT,"Hartford County, Connecticut",.083982907,896943,1220.17,.48473984,.72631818,.13397953,.0025464271,.047910515,.52555847,.36325315,.035474196,.10726623,48223,.47209999,30.4,.16682066
Bridgeport,CT,"Litchfield County, Connecticut",.15037757,186304,202.3812,.492421,.93513829,.015174124,.0018303418,.018088715,.57825172,.33582795,.036762301,.12479907,52338,.44850001,29.4,.07574477
Bridgeport,CT,"Middlesex County, Connecticut",.33672994,165165,447.2363,.48953471,.88987982,.050755307,.00078709167,.027596645,.53166568,.40577152,.015837358,.1235675,58027,.43380001,29.5,.071810827
Bridgeport,CT,"New Haven County, Connecticut",-.26688758,862224,1426.328,.48210093,.7501241,.12841095,.0020702276,.038953915,.55121404,.34002721,.030347567,.1162655,44770,.46610001,33.900002,.19217786
Bridgeport,CT,"New London County, Connecticut",.16892011,273185,410.87991,.49991763,.814686,.056170728,.0059080841,.041576222,.5912109,.32148039,.01512431,.12855853,48105,.43360001,30.1,.14832751
Bridgeport,CT,"Tolland County, Connecticut",.64547521,151948,370.4119,.50105298,.89162737,.031273857,.00046068389,.039362151,.55437702,.38042933,.0062842527,.1157501,57833,.4131,30.200001,.066429883
Bridgeport,CT,"Windham County, Connecticut",.2658928,117470,229.0266,.4955478,.90309018,.022303566,.0038307654,.012301013,.65124524,.23133381,.02452041,.1261344,43137,.4086,31.1,.14320007
Dover,DE,"Kent County, Delaware",-.44146293,169509,289.1763,.48207471,.67208821,.24311984,.0064303372,.020913344,.63815171,.22536206,.044753749,.087951519,39929,.41510001,32.200001,.19687642
Wilmington,DE,"New Castle County, Delaware",-.33067253,549643,1289.377,.48379585,.65469402,.24200982,.0020231314,.050441831,.55119228,.35035181,.038463999,.088551082,47556,.4526,29.5,.15432425
Dover,DE,"Sussex County, Delaware",-.55270112,207302,221.4579,.48616028,.81451213,.12663168,.0045247995,.011447067,.62317139,.23195799,.061682016,.10001219,39040,.43360001,29.4,.21619536
Washington DC,DC,"District of Columbia, District of Columbia",-.1655149,647484,10606.07,.47363949,.40205628,.48873332,.0033267231,.036791641,.34754777,.54576695,.047002155,.012894631,51457,.53170002,29.5,.26697588
Gainesville,FL,"Alachua County, Florida",-.08264897,254218,290.5282,.48371083,.69866019,.19896309,.0030406974,.056565624,.50995475,.41566569,.029790998,.037845343,31284,.51770002,35.900002,.23540965
Jacksonville,FL,"Baker County, Florida",.01434289,27135,46.36631,.52614707,.83467847,.14512622,.0014372582,.0059701493,.70167547,.11486562,.054545455,.064969532,34224,.43799999,32.700001,.22059518
Panama City,FL,"Bay County, Florida",-.088704899,175353,231.1963,.49500152,.82068741,.10767423,.0056685656,.020336121,.65781713,.22217202,.082727849,.059953269,34404,.4404,31.4,.22600719
